#separator:semicolon)
#html:false)
prikkels;beloningen en straffen die beweegredenen zijn voor gedrag (hoofdstuk 01)
schaars;wanneer er niet voldoende is van een specifieke hulpbron om aan al onze behoeftes te voldoen (hoofdstuk 01)
grote economische probleem;hoe onze schaarse hulpbronnen aan te wenden om aan zoveel mogelijk van onze behoeftes te voldoen (hoofdstuk 01)
opportuniteitstost;de waarde van de mogelijkheden die we verliezen wanneer we een keuze maken (hoofdstuk 01)
inflatie;een verhoging van het algemene prijspeil (hoofdstuk 01)
bruto binnenlands product (bbp);de marktwaarde van alle finale goederen en diensten geproduceerd in een land in een jaar (hoofdstuk 26)
bbp per hoofd van de bevolking;bruto binnenlands product gedeeld door de bevolking (hoofdstuk 26)
bruto nationaal product product (bnp);de marktwaarde van alle finale goederen en diensten geproduceerd door de staatsburgers van een land in een jaar, waar ze ook verblijven (hoofdstuk 26)
nominaal bbp;bruto binnenlands product niet gecorrigeerd voor veranderingen in  het prijspeil; hoofdstuk_26)
nominale variablen;variabelen, zoals het nominaal bbp, die niet zijn gecorrigeerd voor veranderingen in  het prijspeil (hoofdstuk 26)
reële variabelen;variabelen, zoals het reëel bbp, die zijn gecorrigeerd voor veranderingen in het prijspeil door voor alle tijdsperiodes dezelfde prijzen te gebruiken (hoofdstuk 26)
recessie;een betekenisvolle en wijdverspreide daling van het reëel inkomen de de werkgelegenheid (hoofdstuk 26)
economische schommelingen (conjunctuurcycli); de bewegingen op de korte termijn van  het reëel bbp rond zijn lange-termijntrend (hoofdstuk 26)
consumptie;bestedingen door de particuliere sector aan eindgoederen en -diensten  (hoofdstuk 26)
investeringen;de aankoop van nieuwe kapitaalgoederen: bestedingen door de particuliere sector aan gereedschap, fabrieken, en uitrusting gebruikt om in de toekomst producten te maken (hoofdstuk 26)
overheidsbestedingen;bestedingen door alle geledingen van de overheid aan eindgoederen en -diensten (bevat dus niet de overdrachtsuitgaven) (hoofdstuk 26)
netto-uitvoer;uitvoerwaarde min invoerwaarde (hoofdstuk 26)
