iso3c,GDP_exp
AFG,2202.570851
ALB,13093.66007
DZA,11560.51572
ASM,NA
AGO,7348.106317
AIA,22877.16133
ATG,20494.4141
ARG,23620.6614
ARM,11974.19947
ABW,38439.67628
AUS,50152.63589
AUT,54652.50882
AZE,14295.54242
BHS,35308.96834
BHR,47256.21155
BGD,4391.743292
BRB,14940.88124
BLR,18280.22707
BEL,50771.44051
BLZ,7209.56132
BEN,2250.130592
BMU,72355.81717
BTN,11786.71142
BOL,8423.696041
BON,NA
BIH,13842.72316
BWA,17275.71817
BRA,14519.84969
BRN,60281.6901
BGR,21447.07899
BFA,1812.76997
BDI,784.4790434
CPV,6616.622055
KHM,3967.883739
CMR,3545.546612
CAN,48657.75225
CYM,69420.51116
CAF,937.0145852
TCD,1622.429454
CHL,23657.208
CHN,14149.9188
COL,14198.7805
COM,3100.89758
COD,1377.965837
COG,5145.219572
COK,NA
CRI,19822.63852
CIV,3572.189878
HRV,26666.03288
CUB,NA
CUW,25183.4307
CYP,37915.32722
CZE,38507.33191
DNK,55045.6149
DJI,5197.05002
DMA,11304.35971
DOM,16735.37557
EAB,16391.95204
ECU,11617.90876
EGY,13327.36596
SLV,8436.71444
GNQ,22770.75919
ERI,NA
EST,33866.72562
SWZ,8716.606158
ETH,1616.960329
ECB,35255.4579
FJI,13436.43641
FIN,47470.63296
FRA,44651.36115
PYF,NA
GAB,12631.05927
GMB,1970.07067
GEO,13589.73037
DEU,53011.73802
GHA,4996.639908
GRC,29088.96567
GRD,16234.74624
GUM,NA
GTM,8353.145185
GIN,2846.572053
GNB,1925.237737
GUY,8989.026678
HTI,1876.997247
HND,5561.996879
HKG,59926.94387
HUN,29529.29933
ISL,55491.63568
IND,6149.196657
IDN,11048.75865
IRN,16012.03598
IRQ,9916.75216
IRL,78211.48525
ISR,38982.65818
ITA,41784.82081
JAM,9619.244917
JPN,40826.53393
JOR,9610.113889
KAZ,24863.00197
KEN,4061.507989
KIR,NA
KOR,41000.99634
KSV,10302.07548
KWT,48927.75873
KGZ,5263.137584
LAO,7310.03378
LCB,16047.7986
LVA,28504.76362
LBN,16081.50591
LSO,2996.030437
LBR,1274.457927
LBY,13665.36406
LTU,33821.12647
LUX,112700.6755
MAC,126918.2265
MDG,1560.746541
MWI,1044.860776
MYS,25540.02009
MDV,18662.20889
MLI,2249.096674
MLT,41741.43522
MHL,NA
MRT,3695.286357
MUS,25051.05182
MEX,20022.66001
FSM,NA
MEB,18774.27085
MDA,9044.642673
MNG,11185.56809
MNE,19704.44983
MSR,18141.80732
MAR,7583.150636
MOZ,1228.583677
MMR,4411.350876
NAM,10614.3217
NRU,NA
NPL,2899.703908
NLD,55348.8932
NCL,NA
NZL,40260.66921
NIC,6029.153385
NER,846.6361323
NGA,4634.468247
NIU,NA
NAB,58843.00759
MKD,15646.32158
MNP,NA
NOR,62940.19618
OMN,29758.28933
PAK,4974.728924
PLW,NA
PAN,30486.47551
PNG,NA
PRY,12594.34326
PER,12506.52977
PHL,7772.051602
POL,29801.81014
PRT,33086.06535
PRI,34634.0291
QAT,95062.62493
ROU,27292.54364
RUS,26079.07671
RWA,1803.629369
WSM,NA
SMR,NA
STP,3255.007336
SAU,48014.58341
SEN,3195.01748
SRB,16599.40385
SYC,27794.32239
SLE,1642.376203
SGP,93980.94053
SXM,31578.53005
SVK,30910.70748
SVN,36660.96345
SLB,NA
SOM,858.4306621
ZAF,12869.58401
SAB,5879.758609
SSD,897.517941
ESP,39626.84316
LKA,12573.89691
KNA,23965.72214
LCA,12735.14515
VCT,13074.8986
SSB,3664.751646
SDN,4331.039976
SUR,16341.13754
SWE,52692.84744
CHE,67139.0577
SYR,NA
TWN,47222.94186
TJK,3104.635957
TZA,2287.175397
THA,17781.38393
TLS,3165.799424
TGO,1457.275931
TKL,NA
TON,NA
TTO,26805.90941
TUN,10638.31495
TUR,28208.55107
TKM,14205.02651
TCA,25981.56915
TUV,NA
UGA,2222.500736
UKR,11871.12362
ARE,67100.2258
GBR,45987.96083
USA,59984.09112
URY,21324.87703
UZB,6518.805118
VUT,NA
VEN,NA
VNM,7182.826745
VGB,40833.55593
WLF,NA
PSE,5756.20406
WLD,16595.50658
YEM,NA
ZMB,3353.871246
ZWE,2560.016829
